Time:ulong,Power:float,Energy:float
"0","3.5145","1.7"
"500000","3.46731","3.5"
"1000000","3.46731","5.2"
"1500000","3.46731","7.0"
"2000000","3.46731","8.7"
"2500000","3.46731","10.5"
"3000000","3.46731","12.3"
"3500000","3.46731","14.0"
"4000000","3.46731","15.8"
"4500000","3.46731","17.5"
"5000000","3.46731","19.3"
"5500000","3.46731","21.0"
"6000000","3.46731","22.8"
"6500000","3.46731","24.2"
"7000000","3.46731","26.0"
"7500000","3.46731","27.7"
"8000000","3.5145","29.5"
"8500000","3.5145","31.2"
"9000000","3.5145","33.0"
"9500000","3.5145","34.7"
"10000000","3.5145","36.5"
"10500000","3.5145","38.3"
"11000000","3.5145","40.0"
"11500000","3.5145","41.8"
"12000000","3.5145","43.5"
"12500000","3.5145","45.3"
"13000000","3.5145","47.0"
"13500000","3.5145","48.8"
"14000000","3.5145","50.6"
"14500000","3.5145","52.3"
"15000000","3.5145","54.1"
"15500000","3.46731","55.8"
"16000000","3.46731","57.6"
"16500000","3.46731","59.0"
"17000000","3.46731","60.7"
"17500000","3.46731","62.5"
"18000000","3.46731","64.3"
"18500000","3.46731","66.0"
"19000000","3.46731","67.8"
"19500000","3.46731","69.5"
"20000000","3.46731","71.3"
"20500000","3.46731","73.0"
"21000000","3.46731","74.8"
"21500000","3.46731","76.6"
"22000000","3.46731","78.3"
"22500000","3.46731","80.1"
"23000000","3.46731","81.8"
"23500000","3.46731","83.6"
"24000000","3.46731","85.4"
"24500000","3.46731","87.1"
"25000000","3.46731","88.9"
"25500000","3.46731","90.6"
"26000000","3.46731","92.4"
"26500000","3.46731","94.1"
"27000000","3.46731","95.5"
"27500000","3.46731","97.3"
"28000000","3.46731","99.1"
"28500000","3.46731","100.8"
"29000000","3.46731","102.6"
"29500000","3.46731","104.3"
"30000000","3.46731","106.1"
"30500000","3.46731","107.8"
"31000000","3.46731","109.6"
"31500000","3.46731","111.4"
"32000000","3.46731","113.1"
"32500000","3.46731","114.9"
"33000000","3.46731","116.6"
"33500000","3.46731","118.4"
"34000000","3.46731","120.1"
"34500000","3.46731","121.9"
"35000000","3.46731","123.7"
"35500000","3.46731","125.4"
"36000000","3.46731","127.2"
"36500000","3.46731","128.6"
"37000000","3.46731","130.3"
"37500000","3.46731","132.1"
"38000000","3.46731","133.8"
"38500000","3.46731","135.6"
"39000000","3.46731","137.4"
"39500000","3.46731","139.1"
"40000000","3.46731","140.9"
"40500000","3.46731","142.6"
"41000000","3.46731","144.4"
"41500000","3.46731","146.1"
"42000000","3.46731","147.9"
"42500000","3.46731","149.7"
"43000000","3.46731","151.4"
"43500000","3.46731","153.2"
"44000000","3.46731","154.9"
"44500000","3.46731","156.7"
"45000000","3.46731","158.1"
"45500000","3.5145","159.9"
"46000000","3.5145","161.6"
"46500000","3.5145","163.4"
"47000000","3.5145","165.1"
"47500000","3.5145","166.9"
"48000000","3.5145","168.6"
"48500000","3.5145","170.4"
"49000000","3.5145","172.2"
"49500000","3.5145","173.9"
"50000000","3.5145","175.7"
"50500000","3.5145","177.4"
"51000000","3.5145","179.2"
"51500000","3.5145","180.9"
"52000000","3.5145","182.7"
"52500000","3.5145","184.5"
"53000000","3.37293","186.2"
"53500000","3.37293","187.6"
"54000000","3.37293","189.4"
"54500000","3.37293","191.1"
"55000000","3.37293","192.9"
"55500000","3.37293","194.6"
"56000000","3.37293","196.0"
"56500000","3.37293","197.8"
"57000000","3.37293","199.6"
"57500000","3.37293","201.3"
"58000000","3.37293","203.1"
"58500000","3.37293","204.8"
"59000000","3.37293","206.2"
"59500000","3.37293","208.0"
"60000000","3.37293","209.8"
"60500000","3.37293","211.5"
"61000000","3.37293","212.9"
"61500000","3.37293","214.7"
"62000000","3.37293","216.4"
"62500000","3.37293","218.2"
"63000000","3.37293","219.9"
"63500000","3.37293","221.7"
"64000000","3.37293","223.1"
"64500000","3.37293","224.9"
"65000000","3.37293","226.6"
"65500000","3.37293","228.4"
"66000000","3.37293","230.1"
"66500000","3.37293","231.5"
"67000000","3.37293","233.3"
"67500000","3.37293","235.1"
"68000000","3.37293","236.8"
"68500000","3.37293","238.2"
"69000000","3.37293","240.0"
"69500000","3.37293","241.7"
"70000000","3.37293","243.5"
"70500000","3.37293","245.2"
"71000000","3.37293","247.0"
"71500000","3.37293","248.4"
"72000000","3.37293","250.2"
"72500000","3.37293","251.9"
"73000000","3.37293","253.7"
"73500000","3.37293","255.4"
"74000000","3.37293","256.8"
"74500000","3.37293","258.6"
"75000000","3.37293","260.4"
"75500000","3.37293","262.1"
"76000000","3.37293","263.5"
"76500000","3.37293","265.3"
"77000000","3.37293","267.0"
"77500000","3.37293","268.8"
"78000000","3.37293","270.5"
"78500000","3.37293","272.3"
"79000000","3.37293","273.7"
"79500000","3.37293","275.5"
"80000000","3.37293","277.2"
"80500000","3.37293","279.0"
"81000000","3.37293","280.4"
"81500000","3.37293","282.1"
"82000000","3.37293","283.9"
"82500000","3.37293","285.6"
"83000000","3.37293","287.4"
"83500000","3.37293","289.2"
"84000000","3.37293","290.6"
"84500000","3.37293","292.3"
"85000000","3.37293","294.1"
"85500000","3.37293","295.8"
"86000000","3.37293","297.6"
"86500000","3.37293","299.0"
"87000000","3.37293","300.8"
"87500000","3.37293","302.5"
"88000000","3.37293","304.3"
"88500000","3.37293","306.0"
"89000000","3.37293","307.8"
"89500000","3.37293","309.2"
"90000000","3.37293","310.9"
"90500000","3.37293","312.7"
"91000000","3.37293","314.5"
"91500000","3.37293","315.9"
"92000000","3.37293","317.6"
"92500000","3.37293","319.4"
"93000000","3.37293","321.1"
"93500000","3.37293","322.9"
"94000000","3.37293","324.7"
"94500000","3.37293","326.1"
"95000000","3.37293","327.8"
"95500000","3.37293","329.6"
"96000000","3.37293","331.3"
"96500000","3.37293","332.7"
"97000000","3.37293","334.5"
"97500000","3.37293","336.2"
"98000000","3.37293","338.0"
"98500000","3.37293","339.8"
"99000000","3.37293","341.2"
"99500000","3.37293","342.9"
"100000000","3.37293","344.7"
"100500000","3.37293","346.4"
"101000000","3.37293","348.2"
"101500000","3.37293","349.6"
"102000000","3.37293","351.4"
"102500000","3.37293","353.1"
"103000000","3.37293","354.9"
"103500000","3.37293","356.6"
"104000000","3.37293","358.4"
"104500000","3.37293","359.8"
"105000000","3.37293","361.5"
"105500000","3.37293","363.3"
"106000000","3.37293","365.1"
"106500000","3.37293","366.8"
"107000000","3.37293","368.2"
"107500000","3.37293","370.0"
"108000000","3.37293","371.7"
"108500000","3.37293","373.5"
"109000000","3.37293","374.9"
"109500000","3.37293","376.6"
"110000000","3.37293","378.4"
"110500000","3.37293","380.2"
"111000000","3.37293","381.9"
"111500000","3.37293","383.7"
"112000000","3.37293","385.1"
"112500000","3.37293","386.8"
"113000000","3.37293","388.6"
"113500000","3.37293","390.4"
"114000000","3.37293","391.8"
"114500000","3.37293","393.5"
"115000000","3.37293","395.3"
"115500000","3.37293","397.0"
"116000000","3.37293","398.8"
"116500000","3.37293","400.2"
"117000000","3.37293","401.9"
"117500000","3.37293","403.7"
"118000000","3.37293","405.5"
"118500000","3.37293","407.2"
"119000000","3.37293","408.6"
"119500000","3.37293","410.4"
"120000000","3.37293","412.1"
"120500000","3.37293","413.9"
"121000000","3.37293","415.7"
"121500000","3.37293","417.4"
"122000000","3.37293","418.8"
"122500000","3.37293","420.6"
"123000000","3.37293","422.3"
"123500000","3.37293","424.1"
"124000000","3.37293","425.8"
"124500000","3.37293","427.6"
"125000000","3.37293","429.0"
"125500000","3.37293","430.8"
"126000000","3.37293","432.5"
"126500000","3.37293","434.3"
"127000000","3.37293","435.7"
